pp,trial,voice_id,condition,response_type,rate
P05,12,robotic,counter,SoPA,2.6
P06,1,clone,counter,SoPA,2.4
P06,2,clone,repeat,SoPA,5.8
P06,3,clone,enhance,SoPA,4.2
P06,4,clone,counter,SoPA,2.0
P06,5,clone,repeat,SoPA,5.6
P06,6,clone,enhance,SoPA,3.4
P06,7,robotic,enhance,SoPA,3.8
P06,8,robotic,repeat,SoPA,4.6
P06,9,robotic,counter,SoPA,2.2
P06,10,robotic,enhance,SoPA,5.2
P06,11,robotic,repeat,SoPA,6.2
P06,12,robotic,counter,SoPA,1.8
P07,1,clone,counter,SoPA,1.4
P07,2,clone,enhance,SoPA,2.4
P07,3,clone,repeat,SoPA,6.6
P07,4,clone,counter,SoPA,1.0
P07,5,clone,enhance,SoPA,1.8
P07,6,clone,repeat,SoPA,5.8
P07,7,robotic,repeat,SoPA,5.8
P07,8,robotic,enhance,SoPA,2.0
P07,9,robotic,counter,SoPA,1.2
P07,10,robotic,repeat,SoPA,2.4
P07,11,robotic,enhance,SoPA,1.6
P07,12,robotic,counter,SoPA,1.0
P09,1,clone,repeat,SoPA,7.0
P09,2,clone,counter,SoPA,1.0
P09,3,clone,enhance,SoPA,1.2
P09,5,clone,counter,SoPA,1.8
P09,6,clone,enhance,SoPA,1.2
P09,8,robotic,counter,SoPA,6.8
P09,10,robotic,enhance,SoPA,1.6
P09,11,robotic,counter,SoPA,1.8
P10,1,clone,repeat,SoPA,4.2
P10,2,clone,counter,SoPA,2.0
P10,3,clone,enhance,SoPA,2.8
P10,4,clone,repeat,SoPA,3.4
P10,5,clone,counter,SoPA,1.2
P10,6,clone,enhance,SoPA,3.2
P10,7,robotic,enhance,SoPA,2.0
P10,8,robotic,counter,SoPA,1.0
P10,9,robotic,repeat,SoPA,2.2
P10,10,robotic,enhance,SoPA,2.0
P10,11,robotic,counter,SoPA,1.0
P10,12,robotic,repeat,SoPA,1.2
P11,1,clone,enhance,SoPA,4.4
P11,2,clone,repeat,SoPA,5.0
P11,3,clone,counter,SoPA,1.0
P11,4,clone,enhance,SoPA,5.0
P11,5,clone,repeat,SoPA,7.0
P11,6,clone,counter,SoPA,5.0
P11,7,robotic,counter,SoPA,1.0
P11,9,robotic,enhance,SoPA,3.2
P11,10,robotic,counter,SoPA,1.0
P11,11,robotic,repeat,SoPA,5.8
P12,1,clone,enhance,SoPA,3.6
P12,2,clone,repeat,SoPA,6.4
P12,3,clone,counter,SoPA,2.0
P12,4,clone,enhance,SoPA,3.6
P12,5,clone,repeat,SoPA,6.4
P12,6,clone,counter,SoPA,3.0
P12,7,robotic,counter,SoPA,2.4
P12,8,robotic,repeat,SoPA,5.6
P12,9,robotic,enhance,SoPA,2.0
P12,10,robotic,counter,SoPA,2.0
P12,11,robotic,repeat,SoPA,3.0
P12,12,robotic,enhance,SoPA,3.0
P13,1,robotic,counter,SoPA,2.4
P13,2,robotic,enhance,SoPA,2.0
P13,3,robotic,repeat,SoPA,3.6
P13,4,robotic,counter,SoPA,1.2
P13,5,robotic,enhance,SoPA,1.8
P13,6,robotic,repeat,SoPA,5.0
P13,7,clone,repeat,SoPA,3.2
P13,8,clone,enhance,SoPA,1.0
P13,9,clone,counter,SoPA,1.0
P13,10,clone,repeat,SoPA,1.0
P13,11,clone,enhance,SoPA,1.4
P13,12,clone,counter,SoPA,1.2
P14,1,robotic,counter,SoPA,2.8
P14,2,robotic,enhance,SoPA,3.0
P14,3,robotic,repeat,SoPA,3.8
P14,4,robotic,counter,SoPA,1.0
P14,5,robotic,enhance,SoPA,2.8
P14,6,robotic,repeat,SoPA,4.2
P14,7,clone,repeat,SoPA,5.4
P14,8,clone,enhance,SoPA,3.0
P14,9,clone,counter,SoPA,2.8
P14,10,clone,repeat,SoPA,4.2
P14,11,clone,enhance,SoPA,3.0
P14,12,clone,counter,SoPA,2.2
P15,1,robotic,repeat,SoPA,4.8
P15,2,robotic,counter,SoPA,3.6
P15,3,robotic,enhance,SoPA,4.2
P15,4,robotic,repeat,SoPA,5.8
P15,5,robotic,counter,SoPA,4.2
P15,6,robotic,enhance,SoPA,5.2
P15,7,clone,enhance,SoPA,5.4
P15,8,clone,counter,SoPA,4.4
P15,9,clone,repeat,SoPA,5.6
P15,10,clone,enhance,SoPA,4.2
P15,11,clone,counter,SoPA,4.4
P15,12,clone,repeat,SoPA,3.6
P16,1,robotic,repeat,SoPA,6.0
P16,2,robotic,counter,SoPA,4.4
P16,3,robotic,enhance,SoPA,4.6
P16,4,robotic,repeat,SoPA,4.6
P16,5,robotic,counter,SoPA,3.0
P16,6,robotic,enhance,SoPA,4.2
P16,7,clone,enhance,SoPA,4.6
P16,8,clone,counter,SoPA,4.4
P16,9,clone,repeat,SoPA,3.6
P16,10,clone,enhance,SoPA,3.8
P16,11,clone,counter,SoPA,2.2
P16,12,clone,repeat,SoPA,1.2
P17,1,robotic,enhance,SoPA,4.2
P17,2,robotic,repeat,SoPA,6.4
P17,3,robotic,counter,SoPA,1.8
P17,5,robotic,repeat,SoPA,4.8
P17,6,robotic,counter,SoPA,2.8
P17,7,clone,counter,SoPA,1.8
P17,8,clone,repeat,SoPA,5.2
P17,9,clone,enhance,SoPA,4.8
P17,10,clone,counter,SoPA,1.4
P17,11,clone,repeat,SoPA,5.0
P17,12,clone,enhance,SoPA,3.8
P18,1,robotic,enhance,SoPA,3.0
P18,2,robotic,repeat,SoPA,3.8
P18,3,robotic,counter,SoPA,1.0
P18,4,robotic,enhance,SoPA,1.0
P18,5,robotic,repeat,SoPA,4.8
P18,6,robotic,counter,SoPA,1.0
P18,7,clone,counter,SoPA,2.6
P18,8,clone,repeat,SoPA,4.8
P18,9,clone,enhance,SoPA,4.4
P18,10,clone,counter,SoPA,1.6
P18,11,clone,repeat,SoPA,5.4
P18,12,clone,enhance,SoPA,5.8
P19,1,robotic,repeat,SoPA,4.2
P19,2,robotic,enhance,SoPA,1.0
P19,3,robotic,counter,SoPA,1.0
P19,4,robotic,repeat,SoPA,1.6
P19,5,robotic,enhance,SoPA,1.6
P19,6,robotic,counter,SoPA,1.6
P19,7,clone,counter,SoPA,1.2
P19,8,clone,enhance,SoPA,1.2
P19,9,clone,repeat,SoPA,1.2
P19,10,clone,counter,SoPA,1.0
P19,11,clone,enhance,SoPA,1.2
P19,12,clone,repeat,SoPA,1.2
P21,1,robotic,enhance,SoPA,7.0
P21,2,robotic,counter,SoPA,3.8
P21,3,robotic,repeat,SoPA,6.8
P21,4,robotic,enhance,SoPA,5.8
P21,5,robotic,counter,SoPA,1.2
P21,6,robotic,repeat,SoPA,7.0
P21,7,clone,repeat,SoPA,7.0
P21,8,clone,counter,SoPA,1.6
P21,9,clone,enhance,SoPA,3.4
P21,10,clone,repeat,SoPA,7.0
P21,11,clone,counter,SoPA,1.8
P21,12,clone,enhance,SoPA,3.8
P22,1,robotic,enhance,SoPA,2.6
P22,2,robotic,counter,SoPA,2.6
P22,3,robotic,repeat,SoPA,3.6
P22,4,robotic,enhance,SoPA,3.6
P22,5,robotic,counter,SoPA,2.2
P22,6,robotic,repeat,SoPA,3.4
P22,7,clone,repeat,SoPA,3.6
P22,8,clone,counter,SoPA,2.4
P22,9,clone,enhance,SoPA,3.0
P22,10,clone,repeat,SoPA,4.0
P22,11,clone,counter,SoPA,2.2
P22,12,clone,enhance,SoPA,3.4
P23,1,robotic,counter,SoPA,4.0
P23,2,robotic,repeat,SoPA,4.4
P23,3,robotic,enhance,SoPA,5.6
P23,4,robotic,counter,SoPA,2.0
P23,5,robotic,repeat,SoPA,6.2
P23,6,robotic,enhance,SoPA,6.4
P23,7,clone,enhance,SoPA,5.2
P23,8,clone,repeat,SoPA,5.2
P23,9,clone,counter,SoPA,3.8
P23,10,clone,enhance,SoPA,2.8
P23,11,clone,repeat,SoPA,5.2
P23,12,clone,counter,SoPA,3.6
P24,1,robotic,counter,SoPA,2.4
P24,3,robotic,enhance,SoPA,3.4
P24,4,robotic,counter,SoPA,2.0
P24,5,robotic,repeat,SoPA,4.6
P24,6,robotic,enhance,SoPA,4.0
P24,7,clone,enhance,SoPA,4.8
P24,8,clone,repeat,SoPA,5.2
P24,9,clone,counter,SoPA,2.0
P24,10,clone,enhance,SoPA,3.0
P24,11,clone,repeat,SoPA,5.4
P24,12,clone,counter,SoPA,2.0
P25,1,clone,repeat,SoPA,2.0
P25,2,clone,enhance,SoPA,3.2
P25,3,clone,counter,SoPA,3.4
P25,4,clone,repeat,SoPA,5.4
P25,5,clone,enhance,SoPA,3.6
P25,6,clone,counter,SoPA,2.0
P25,7,robotic,counter,SoPA,1.4
P25,8,robotic,enhance,SoPA,4.2
P25,10,robotic,counter,SoPA,1.2
P25,11,robotic,enhance,SoPA,4.0
P25,12,robotic,repeat,SoPA,6.0
P26,1,clone,enhance,SoPA,1.8
P26,2,clone,counter,SoPA,2.2
P26,3,clone,repeat,SoPA,1.6
P26,4,clone,enhance,SoPA,3.6
P26,5,clone,counter,SoPA,1.2
P26,6,clone,repeat,SoPA,3.6
P26,7,robotic,repeat,SoPA,3.2
P26,8,robotic,counter,SoPA,2.6
P26,9,robotic,enhance,SoPA,1.8
P26,10,robotic,repeat,SoPA,3.0
P26,11,robotic,counter,SoPA,1.4
P26,12,robotic,enhance,SoPA,1.6
P27,1,clone,enhance,SoPA,2.4
P27,2,clone,repeat,SoPA,5.0
P27,3,clone,counter,SoPA,1.2
P27,4,clone,enhance,SoPA,3.6
P27,5,clone,repeat,SoPA,4.4
P27,6,clone,counter,SoPA,1.0
P27,7,robotic,counter,SoPA,3.8
P27,8,robotic,repeat,SoPA,2.8
P27,9,robotic,enhance,SoPA,4.6
P27,10,robotic,counter,SoPA,1.8
P27,11,robotic,repeat,SoPA,1.0
P27,12,robotic,enhance,SoPA,3.4
P28,1,clone,counter,SoPA,2.0
P28,2,clone,enhance,SoPA,3.4
P28,3,clone,repeat,SoPA,5.6
P28,4,clone,counter,SoPA,5.8
P28,5,clone,enhance,SoPA,5.8
P28,6,clone,repeat,SoPA,6.4
P28,7,robotic,repeat,SoPA,6.4
P28,8,robotic,enhance,SoPA,3.8
P28,9,robotic,counter,SoPA,1.0
P28,10,robotic,repeat,SoPA,6.4
P28,11,robotic,enhance,SoPA,3.8
P28,12,robotic,counter,SoPA,3.2
P29,1,clone,repeat,SoPA,4.4
P29,2,clone,counter,SoPA,1.4
P29,3,clone,enhance,SoPA,2.6
P29,4,robotic,enhance,SoPA,3.4
P29,5,robotic,counter,SoPA,1.4
P29,6,robotic,repeat,SoPA,6.0
P29,7,robotic,enhance,SoPA,3.2
P29,8,robotic,counter,SoPA,1.6
P29,9,robotic,repeat,SoPA,6.2
P29,10,clone,repeat,SoPA,4.2
P29,11,clone,counter,SoPA,1.0
P29,12,clone,enhance,SoPA,4.4
P30,1,clone,enhance,SoPA,1.0
P30,2,clone,repeat,SoPA,1.6
P30,3,clone,counter,SoPA,1.0
P30,4,clone,enhance,SoPA,1.8
P30,5,clone,repeat,SoPA,1.4
P30,6,clone,counter,SoPA,1.0
P30,7,robotic,counter,SoPA,1.4
P30,8,robotic,repeat,SoPA,1.2
P30,9,robotic,enhance,SoPA,1.6
P30,10,robotic,counter,SoPA,1.0
P30,11,robotic,repeat,SoPA,1.8
P30,12,robotic,enhance,SoPA,1.8
P01,1,clone,repeat,SoNA,4.0
P01,2,clone,enhance,SoNA,5.333333333333333
P01,3,clone,counter,SoNA,6.0
P01,4,clone,repeat,SoNA,6.0
P01,5,clone,enhance,SoNA,5.0
P01,6,clone,counter,SoNA,6.0
P01,7,robotic,counter,SoNA,6.0
P01,8,robotic,enhance,SoNA,6.0
P01,9,robotic,repeat,SoNA,4.333333333333333
P01,10,robotic,counter,SoNA,5.0
P01,11,robotic,enhance,SoNA,3.6666666666666665
P01,12,robotic,repeat,SoNA,3.6666666666666665
P02,1,clone,repeat,SoNA,5.333333333333333
P02,2,clone,enhance,SoNA,6.333333333333333
P02,3,clone,counter,SoNA,6.333333333333333
P02,4,clone,repeat,SoNA,3.6666666666666665
P02,5,clone,enhance,SoNA,2.6666666666666665
P02,6,clone,counter,SoNA,3.6666666666666665
P02,7,robotic,counter,SoNA,4.333333333333333
P02,8,robotic,enhance,SoNA,3.0
P02,9,robotic,repeat,SoNA,2.6666666666666665
P02,10,robotic,counter,SoNA,4.333333333333333
P02,11,robotic,enhance,SoNA,3.6666666666666665
P02,12,robotic,repeat,SoNA,3.3333333333333335
P03,1,clone,enhance,SoNA,2.0
P03,2,clone,counter,SoNA,1.6666666666666667
P03,3,clone,repeat,SoNA,2.3333333333333335
P03,4,clone,enhance,SoNA,2.0
P03,5,clone,counter,SoNA,3.3333333333333335
P03,6,clone,repeat,SoNA,2.6666666666666665
P03,7,robotic,repeat,SoNA,2.6666666666666665
P03,8,robotic,counter,SoNA,3.0
P03,9,robotic,enhance,SoNA,3.0
P03,10,robotic,repeat,SoNA,2.6666666666666665
P03,11,robotic,counter,SoNA,2.6666666666666665
P03,12,robotic,enhance,SoNA,2.6666666666666665
P04,1,clone,enhance,SoNA,3.3333333333333335
P04,2,clone,counter,SoNA,4.333333333333333
P04,3,clone,repeat,SoNA,3.3333333333333335
P04,4,clone,enhance,SoNA,4.0
P04,5,clone,counter,SoNA,3.0
P04,6,clone,repeat,SoNA,6.0
P04,7,robotic,repeat,SoNA,4.333333333333333
P04,8,robotic,counter,SoNA,5.666666666666667
P04,9,robotic,enhance,SoNA,4.0
P04,10,robotic,repeat,SoNA,4.333333333333333
P04,11,robotic,counter,SoNA,3.6666666666666665
P05,1,clone,counter,SoNA,5.666666666666667
P05,2,clone,repeat,SoNA,3.3333333333333335
P05,3,clone,enhance,SoNA,2.3333333333333335
P05,4,clone,counter,SoNA,6.333333333333333
P05,5,clone,repeat,SoNA,2.0
P05,6,clone,enhance,SoNA,5.333333333333333
P05,7,robotic,enhance,SoNA,3.6666666666666665
P05,8,robotic,repeat,SoNA,1.0
P05,9,robotic,counter,SoNA,6.0
P05,10,robotic,enhance,SoNA,2.0
P05,11,robotic,repeat,SoNA,1.0
P05,12,robotic,counter,SoNA,4.666666666666667
P06,1,clone,counter,SoNA,6.0
P06,2,clone,repeat,SoNA,3.3333333333333335
P06,3,clone,enhance,SoNA,3.0
P06,4,clone,counter,SoNA,4.666666666666667
P06,5,clone,repeat,SoNA,1.6666666666666667
P06,6,clone,enhance,SoNA,4.666666666666667
P06,7,robotic,enhance,SoNA,4.666666666666667
P06,8,robotic,repeat,SoNA,3.3333333333333335
P06,9,robotic,counter,SoNA,6.0
P06,10,robotic,enhance,SoNA,4.0
P06,11,robotic,repeat,SoNA,3.0
P06,12,robotic,counter,SoNA,5.333333333333333
P07,1,clone,counter,SoNA,4.0
P07,2,clone,enhance,SoNA,5.666666666666667
P07,3,clone,repeat,SoNA,1.0
P07,4,clone,counter,SoNA,6.666666666666667
P07,5,clone,enhance,SoNA,3.0
P07,6,clone,repeat,SoNA,1.0
P07,7,robotic,repeat,SoNA,1.0
P07,8,robotic,enhance,SoNA,3.3333333333333335
P07,9,robotic,counter,SoNA,5.333333333333333
P07,10,robotic,repeat,SoNA,2.3333333333333335
P07,11,robotic,enhance,SoNA,4.0
P07,12,robotic,counter,SoNA,6.666666666666667
P09,1,clone,repeat,SoNA,5.333333333333333
P09,2,clone,counter,SoNA,3.0
P09,3,clone,enhance,SoNA,2.6666666666666665
P09,5,clone,counter,SoNA,2.0
P09,6,clone,enhance,SoNA,1.3333333333333333
P09,8,robotic,counter,SoNA,7.0
P09,10,robotic,enhance,SoNA,2.0
P09,11,robotic,counter,SoNA,1.6666666666666667
P10,1,clone,repeat,SoNA,5.0
P10,2,clone,counter,SoNA,4.666666666666667
P10,3,clone,enhance,SoNA,3.6666666666666665
P10,4,clone,repeat,SoNA,4.0
P10,5,clone,counter,SoNA,4.666666666666667
P10,6,clone,enhance,SoNA,5.0
P10,7,robotic,enhance,SoNA,5.333333333333333
P10,8,robotic,counter,SoNA,4.333333333333333
P10,9,robotic,repeat,SoNA,4.333333333333333
P10,10,robotic,enhance,SoNA,3.6666666666666665
P10,11,robotic,counter,SoNA,5.333333333333333
P10,12,robotic,repeat,SoNA,5.333333333333333
P11,1,clone,enhance,SoNA,3.0
P11,2,clone,repeat,SoNA,4.0
P11,3,clone,counter,SoNA,4.666666666666667
P11,4,clone,enhance,SoNA,3.6666666666666665
P11,5,clone,repeat,SoNA,1.0
P11,6,clone,counter,SoNA,4.0
P11,7,robotic,counter,SoNA,7.0
P11,9,robotic,enhance,SoNA,4.0
P11,10,robotic,counter,SoNA,3.0
P11,11,robotic,repeat,SoNA,3.6666666666666665
P12,1,clone,enhance,SoNA,1.3333333333333333
P12,2,clone,repeat,SoNA,1.0
P12,3,clone,counter,SoNA,4.0
P12,4,clone,enhance,SoNA,3.3333333333333335
P12,5,clone,repeat,SoNA,1.0
P12,6,clone,counter,SoNA,3.6666666666666665
P12,7,robotic,counter,SoNA,3.6666666666666665
P12,8,robotic,repeat,SoNA,3.0
P12,9,robotic,enhance,SoNA,4.0
P12,10,robotic,counter,SoNA,5.333333333333333
P12,11,robotic,repeat,SoNA,3.3333333333333335
P12,12,robotic,enhance,SoNA,2.3333333333333335
P13,1,robotic,counter,SoNA,4.0
P13,2,robotic,enhance,SoNA,5.0
P13,3,robotic,repeat,SoNA,3.0
P13,4,robotic,counter,SoNA,5.333333333333333
P13,5,robotic,enhance,SoNA,4.666666666666667
P13,6,robotic,repeat,SoNA,1.6666666666666667
P13,7,clone,repeat,SoNA,3.6666666666666665
P13,8,clone,enhance,SoNA,5.0
P13,9,clone,counter,SoNA,3.0
P13,10,clone,repeat,SoNA,4.0
P13,11,clone,enhance,SoNA,5.0
P13,12,clone,counter,SoNA,5.0
P14,1,robotic,counter,SoNA,6.666666666666667
P14,2,robotic,enhance,SoNA,6.0
P14,3,robotic,repeat,SoNA,5.666666666666667
P14,4,robotic,counter,SoNA,5.666666666666667
P14,5,robotic,enhance,SoNA,6.666666666666667
P14,6,robotic,repeat,SoNA,5.666666666666667
P14,7,clone,repeat,SoNA,4.0
P14,8,clone,enhance,SoNA,4.666666666666667
P14,9,clone,counter,SoNA,6.0
P14,10,clone,repeat,SoNA,4.666666666666667
P14,11,clone,enhance,SoNA,5.666666666666667
P14,12,clone,counter,SoNA,5.666666666666667
P15,1,robotic,repeat,SoNA,3.6666666666666665
P15,2,robotic,counter,SoNA,4.666666666666667
P15,3,robotic,enhance,SoNA,4.0
P15,4,robotic,repeat,SoNA,3.6666666666666665
P15,5,robotic,counter,SoNA,5.0
P15,6,robotic,enhance,SoNA,3.3333333333333335
P15,7,clone,enhance,SoNA,2.3333333333333335
P15,8,clone,counter,SoNA,2.0
P15,9,clone,repeat,SoNA,3.6666666666666665
P15,10,clone,enhance,SoNA,3.6666666666666665
P15,11,clone,counter,SoNA,3.0
P15,12,clone,repeat,SoNA,3.0
P16,1,robotic,repeat,SoNA,3.3333333333333335
P16,2,robotic,counter,SoNA,3.3333333333333335
P16,3,robotic,enhance,SoNA,3.6666666666666665
P16,4,robotic,repeat,SoNA,3.3333333333333335
P16,5,robotic,counter,SoNA,3.3333333333333335
P16,6,robotic,enhance,SoNA,3.6666666666666665
P16,7,clone,enhance,SoNA,4.666666666666667
P16,8,clone,counter,SoNA,4.666666666666667
P16,9,clone,repeat,SoNA,4.666666666666667
P16,10,clone,enhance,SoNA,5.0
P16,11,clone,counter,SoNA,4.333333333333333
P16,12,clone,repeat,SoNA,4.0
P17,1,robotic,enhance,SoNA,1.6666666666666667
P17,2,robotic,repeat,SoNA,1.0
P17,3,robotic,counter,SoNA,4.333333333333333
P17,5,robotic,repeat,SoNA,3.0
P17,6,robotic,counter,SoNA,4.0
P17,7,clone,counter,SoNA,5.0
P17,8,clone,repeat,SoNA,3.6666666666666665
P17,9,clone,enhance,SoNA,2.6666666666666665
P17,10,clone,counter,SoNA,4.666666666666667
P17,11,clone,repeat,SoNA,1.6666666666666667
P17,12,clone,enhance,SoNA,4.333333333333333
P18,1,robotic,enhance,SoNA,4.333333333333333
P18,2,robotic,repeat,SoNA,4.333333333333333
P18,3,robotic,counter,SoNA,6.666666666666667
P18,4,robotic,enhance,SoNA,5.333333333333333
P18,5,robotic,repeat,SoNA,5.333333333333333
P18,6,robotic,counter,SoNA,7.0
P18,7,clone,counter,SoNA,3.6666666666666665
P18,8,clone,repeat,SoNA,2.6666666666666665
P18,9,clone,enhance,SoNA,3.3333333333333335
P18,10,clone,counter,SoNA,5.666666666666667
P18,11,clone,repeat,SoNA,2.6666666666666665
P18,12,clone,enhance,SoNA,2.0
P19,1,robotic,repeat,SoNA,5.333333333333333
P19,2,robotic,enhance,SoNA,6.333333333333333
P19,3,robotic,counter,SoNA,5.666666666666667
P19,4,robotic,repeat,SoNA,5.333333333333333
P19,5,robotic,enhance,SoNA,5.333333333333333
P19,6,robotic,counter,SoNA,5.333333333333333
P19,7,clone,counter,SoNA,6.333333333333333
P19,8,clone,enhance,SoNA,5.666666666666667
P19,9,clone,repeat,SoNA,3.6666666666666665
P19,10,clone,counter,SoNA,4.333333333333333
P19,11,clone,enhance,SoNA,4.0
P19,12,clone,repeat,SoNA,2.3333333333333335
P21,1,robotic,enhance,SoNA,3.3333333333333335
P21,2,robotic,counter,SoNA,4.666666666666667
P21,3,robotic,repeat,SoNA,4.0
P21,4,robotic,enhance,SoNA,4.333333333333333
P21,5,robotic,counter,SoNA,3.0
P21,6,robotic,repeat,SoNA,5.0
P21,7,clone,repeat,SoNA,4.333333333333333
P21,8,clone,counter,SoNA,3.6666666666666665
P21,9,clone,enhance,SoNA,3.6666666666666665
P21,10,clone,repeat,SoNA,5.0
P21,11,clone,counter,SoNA,3.6666666666666665
P21,12,clone,enhance,SoNA,4.333333333333333
P22,1,robotic,enhance,SoNA,5.0
P22,2,robotic,counter,SoNA,4.333333333333333
P22,3,robotic,repeat,SoNA,3.3333333333333335
P22,4,robotic,enhance,SoNA,3.6666666666666665
P22,5,robotic,counter,SoNA,5.333333333333333
P22,6,robotic,repeat,SoNA,3.6666666666666665
P22,7,clone,repeat,SoNA,3.3333333333333335
P22,8,clone,counter,SoNA,4.0
P22,9,clone,enhance,SoNA,4.0
P22,10,clone,repeat,SoNA,3.6666666666666665
P22,11,clone,counter,SoNA,5.333333333333333
P22,12,clone,enhance,SoNA,4.333333333333333
P23,1,robotic,counter,SoNA,4.0
P23,2,robotic,repeat,SoNA,3.3333333333333335
P23,3,robotic,enhance,SoNA,3.0
P23,4,robotic,counter,SoNA,5.0
P23,5,robotic,repeat,SoNA,3.3333333333333335
P23,6,robotic,enhance,SoNA,3.6666666666666665
P23,7,clone,enhance,SoNA,3.3333333333333335
P23,8,clone,repeat,SoNA,3.3333333333333335
P23,9,clone,counter,SoNA,3.3333333333333335
P23,10,clone,enhance,SoNA,2.6666666666666665
P23,11,clone,repeat,SoNA,3.3333333333333335
P23,12,clone,counter,SoNA,3.3333333333333335
P24,1,robotic,counter,SoNA,2.6666666666666665
P24,3,robotic,enhance,SoNA,3.3333333333333335
P24,4,robotic,counter,SoNA,4.666666666666667
P24,5,robotic,repeat,SoNA,3.0
P24,6,robotic,enhance,SoNA,4.333333333333333
P24,7,clone,enhance,SoNA,4.0
P24,8,clone,repeat,SoNA,4.0
P24,9,clone,counter,SoNA,4.666666666666667
P24,10,clone,enhance,SoNA,2.6666666666666665
P24,11,clone,repeat,SoNA,4.666666666666667
P24,12,clone,counter,SoNA,3.6666666666666665
P25,1,clone,repeat,SoNA,4.0
P25,2,clone,enhance,SoNA,4.333333333333333
P25,3,clone,counter,SoNA,4.0
P25,4,clone,repeat,SoNA,4.666666666666667
P25,5,clone,enhance,SoNA,4.0
P25,6,clone,counter,SoNA,4.333333333333333
P25,7,robotic,counter,SoNA,5.0
P25,8,robotic,enhance,SoNA,4.333333333333333
P25,10,robotic,counter,SoNA,5.0
P25,11,robotic,enhance,SoNA,4.0
P25,12,robotic,repeat,SoNA,2.6666666666666665
P26,1,clone,enhance,SoNA,4.0
P26,2,clone,counter,SoNA,3.3333333333333335
P26,3,clone,repeat,SoNA,4.666666666666667
P26,4,clone,enhance,SoNA,3.0
P26,5,clone,counter,SoNA,5.333333333333333
P26,6,clone,repeat,SoNA,4.0
P26,7,robotic,repeat,SoNA,5.333333333333333
P26,8,robotic,counter,SoNA,4.666666666666667
P26,9,robotic,enhance,SoNA,4.666666666666667
P26,10,robotic,repeat,SoNA,5.0
P26,11,robotic,counter,SoNA,4.0
P26,12,robotic,enhance,SoNA,4.333333333333333
P27,1,clone,enhance,SoNA,2.6666666666666665
P27,2,clone,repeat,SoNA,2.0
P27,3,clone,counter,SoNA,5.0
P27,4,clone,enhance,SoNA,5.333333333333333
P27,5,clone,repeat,SoNA,4.666666666666667
P27,6,clone,counter,SoNA,5.0
P27,7,robotic,counter,SoNA,4.0
P27,8,robotic,repeat,SoNA,5.0
P27,9,robotic,enhance,SoNA,5.0
P27,10,robotic,counter,SoNA,7.0
P27,11,robotic,repeat,SoNA,7.0
P27,12,robotic,enhance,SoNA,4.666666666666667
P28,1,clone,counter,SoNA,4.666666666666667
P28,2,clone,enhance,SoNA,5.0
P28,3,clone,repeat,SoNA,2.0
P28,4,clone,counter,SoNA,2.0
P28,5,clone,enhance,SoNA,1.6666666666666667
